Rank,Name,Height,Weight,Rating,Votes,City,State,Country
2,Kenta Kobashi,186,115,9.73,623,Fukuchiyama, Kyoto, Japan
3,Mitsuharu Misawa,185,110,9.72,525,Yubari, Hokkaido, Japan
4,Manami Toyota,168,72,9.7,219,Masuda, Shimane, Japan
5,Kazuchika Okada,191,107,9.69,840,Anjo, Aichi, Japan
6,Toshiaki Kawada,183,105,9.68,265,Fujioka, Tochigi, Japan
7,Hiroshi Tanahashi,181,101,9.68,755,Ogaki, Gifu, Japan
8,Jaguar Yokota,159,58,9.65,39,Tokyo, Japan,
9,Jumbo Tsuruta,194,127,9.64,194,Yamanashi, Japan,
10,Mayu Iwatani,163,53,9.64,207,Mine, Yamaguchi, Japan
11,Meiko Satomura,157,68,9.63,201,Niigata, Japan,
12,Akira Hokuto,168,63,9.62,92,Yoshikawa, Saitama, Japan
13,Hiroyuki Unno,173,76,9.62,105,Hatogaya, Saitama, Japan
14,Shawn Michaels,185,103,9.61,1766,Chandler, Arizona, USA
15,Takumi Iroha,170,72,9.59,40,Fukuoka, Japan,
16,Jushin Thunder Liger,170,92,9.59,629,Hiroshima, Japan,
17,Arisa Nakajima,160,60,9.57,67,Chichibu, Saitama, Japan
18,Lou Thesz,185,102,9.56,128,Barnat, Michigan, USA
19,Megumi Kudo,162,60,9.56,65,Koshiyaga, Saitama, Japan
20,Rikidozan,176,116,9.54,86,South Hamgyong, Korea,
21,Toshiyo Yamada,168,70,9.53,31,Saitama, Japan,
22,Paul Heyman,180,106,9.53,668,Scarsdale, New York, USA
23,Chris Jericho,180,103,9.53,1834,Manhasset, New York, USA
24,Bobby Heenan,183,105,9.51,302,Chicago, Illinois, USA
25,El Santo,175,95,9.51,87,Tulancingo, Hidalgo, Mexiko
26,ASUKA,174,67,9.51,73,Yokohama, Kanagawa, Japan
27,Undertaker,208,136,9.51,2117,Houston, Texas, USA
28,Io Shirai,156,55,9.51,368,Kamakura, Kanagawa, Japan
29,Eddie Guerrero,172,100,9.49,982,El Paso, Texas, USA
30,Minoru Suzuki,178,102,9.49,479,Yokohama, Kanagawa, Japan
31,Tetsuya Naito,180,102,9.49,573,Tokyo, Japan,
32,Destroyer,178,110,9.48,32,Buffalo, New York, USA
33,Katsuyori Shibata,183,95,9.48,398,Kuwana, Mie, Japan
34,Tomohiro Ishii,170,100,9.48,525,Kawasaki, Kanagawa, Japan
35,Steve Austin,188,116,9.47,1050,Austin, Texas, USA
36,First Tiger Mask,173,98,9.47,163,Shimonoseki, Yamaguchi, Japan
38,AJ Styles,180,99,9.46,1535,Jacksonville, North Carolina, USA
39,Kenny Omega,183,99,9.46,961,Transcona, Manitoba, Canada
40,WALTER,193,134,9.46,384,Wien, Österreich,
41,Daniel Bryan,173,95,9.45,1436,Aberdeen, Washington, USA
42,Kurt Angle,178,100,9.45,1108,Pittsburgh, Pennsylvania, USA
43,Hiromu Takahashi,171,88,9.45,322,Hachioji, Tokyo, Japan
44,Gene Okerlund,175,72,9.42,176,Robbinsdale, Minnesota, USA
46,Bret Hart,183,107,9.42,1109,Calgary, Alberta, Canada
47,Karl Gotch,184,110,9.42,82,Antwerpen, Antwerpen, Belgien
49,Kota Ibushi,181,93,9.42,592,Kagoshima, Japan,
50,Gorgeous George,173,94,9.41,90,Butte, Nebraska, USA
51,Asuka,160,62,9.41,541,Osaka, Japan,
52,Howard Finkel,173,76,9.4,206,New York City, New York, USA
53,Chigusa Nagayo,165,83,9.4,44,Omura, Nagasaki, Japan
54,CM Punk,183,99,9.39,1713,Chicago, Illinois, USA
55,Bruno Sammartino,178,120,9.39,199,Pizzoferrato, Abruzzen, Italien
56,Ricky Steamboat,178,107,9.38,374,West Point, New York, USA
57,Negro Casas,170,76,9.38,44,Mexico City, Distrito Federal, Mexiko
58,Edge,193,108,9.37,1482,Orangeville, Ontario, Canada
59,Naomichi Marufuji,176,90,9.37,381,Saitama, Japan,
60,Kento Miyahara,186,102,9.37,185,Fukuoka, Japan,
61,Kairi Sane,155,52,9.34,261,Hikari, Yamaguchi, Japan
62,Takuya Nomura,176,92,9.34,49,Tochigi, Japan,
63,Buddy Rogers,183,107,9.33,72,Camden, New Jersey, USA
64,Masashi Takeda,170,85,9.33,79,Machida, Tokyo, Japan
65,Curt Hennig,190,118,9.31,525,Minneapolis, Minnesota, USA
66,Keiji Muto,188,110,9.3,271,Fujiyoshida, Yamanashi, Japan
67,Jim Ross,183,110,9.29,499,Fort Bragg, California, USA
68,Shingo Takagi,178,95,9.29,358,Chuo, Yamanashi, Japan
69,Stan Hansen,192,138,9.28,197,Knox City, Texas, USA
70,Terry Funk,185,112,9.28,347,Hammond, Indiana, USA
71,Kagetsu,159,62,9.28,91,Settsu, Osaka, Japan
72,Aja Kong,165,103,9.28,137,Tokyo, Japan,
73,Go Shiozaki,183,110,9.28,257,Kumamoto, Japan,
74,Masaaki Mochizuki,175,85,9.28,82,Tokyo, Japan,
75,Yuji Okabayashi,175,120,9.28,95,Nankoku, Kochi, Japan
76,Shinya Hashimoto,183,135,9.27,111,Toki, Gifu, Japan
77,Arisa Hoshiki,167,52,9.27,66,Funabashi, Chiba, Japan
78,Daisuke Sekimoto,175,115,9.27,196,Osaka, Japan,
80,Ben-K,174,99,9.26,42,Sakura, Chiba, Japan
81,Jun Akiyama,188,110,9.26,199,Izuki, Osaka, Japan
82,Katsuhiko Nakajima,175,87,9.26,205,Fukuoka, Japan,
