Number,Gimmick,CareerStart,Birthday,Birthplace,Latitude,Longitude
1,John Cena,05.11.1999,23.04.1977,West Newbury, Massachusetts,42.79414,-70.971068
2,AJ Styles,15.02.1999,02.06.1977,Jacksonville, North Carolina,34.754586,-77.507427
3,Randy Orton,02.04.1999,01.04.1980,Knoxville, Tennessee,36.032334,-83.884804
4,Triple H,3.1992,27.07.1969,Nashua, New Hampshire,42.741295,-71.458793
5,Jeff Hardy,15.10.1993,31.08.1977,Cameron, North Carolina,35.310584,-79.347244
6,The Miz,2003,08.10.1980,Parma, Ohio,41.404774,-81.722909
7,Rey Mysterio,30.04.1989,11.12.1974,San Ysidro, California,32.553631,-117.042502
8,Roman Reigns,19.08.2010,25.05.1985,Pensacola, Florida,30.428781,-87.222516
9,Seth Rollins,2004,28.05.1986,Buffalo, Iowa,41.45559,-90.72097
10,John Morrison,2002,03.10.1979,Palos Verdes, California,38.689283,-120.054929
11,Samoa Joe,12.1999,17.03.1979,Orange County, California,33.675687,-117.777207
12,Dolph Ziggler,9.2004,27.07.1980,Cleveland, Ohio,41.489381,-81.667486
13,Goldberg,23.06.1997,27.12.1966,Tulsa, Oklahoma,36.063095,-95.804231
14,MVP,29.06.1999,28.10.1973,Miami, Florida,25.558428,-80.458168
15,The Fiend,2.2009,23.05.1987,Brooksville, Florida,28.586197,-82.395858
16,John Bradshaw Layfield,23.09.1992,29.11.1966,Athens, Texas,32.188097,-95.882391
17,Bobby Lashley,1999,16.07.1976,Kansas City, Missouri,39.102404,-94.598583
18,Booker T,1989,01.05.1965,Houston, Texas,29.813142,-95.309789
19,Sasha Banks,08.08.2010,26.01.1992,Fairfield, California,38.278428,-122.020276
20,Charlotte Flair,10.2012,05.04.1986,Charlotte, North Carolina,35.26002,-80.804151
21,Vince McMahon,13.04.1998,24.08.1945,Pinehurst, North Carolina,35.216222,-79.452352
22,Shelton Benjamin,2000,09.07.1975,Orangeburg, South Carolina,33.490935,-80.821825
23,R-Truth,3.1997,19.01.1972,Charlotte, North Carolina,35.26002,-80.804151
24,Ricochet,11.10.2003,11.10.1988,Alton, Illinois,38.8906,-90.18428
25,Shane McMahon,15.12.1998,15.01.1970,Gaithersburg, Maryland,39.139336,-77.182953
26,The Brian Kendrick,04.10.1999,29.05.1979,Fairfax, Virginia,38.853231,-77.305097
27,Adam Cole,06.04.2008,05.07.1989,Panama City, Florida,30.159737,-85.660922
28,Bayley,19.09.2008,15.06.1989,Newark, California,37.534102,-122.025352
29,Baron Corbin,2012,13.09.1984,Lenexa, Kansas,38.953617,-94.733571
30,Roderick Strong,2000,22.04.1985,Eau Claire, Wisconsin,44.75653,-91.473097
