#,,Gimmick,Birthplace,Height,Weight,Promotioin,Rating,votes
1,,Christophe Agius,"Souffelweyersheim, Frankreich",,,,9.79,28
2,,Kenta Kobashi,"Fukuchiyama, Kyoto, Japan",186,115,,9.73,623
3,,Mitsuharu Misawa,"Yubari, Hokkaido, Japan",185,110,,9.72,525
4,,Manami Toyota,"Masuda, Shimane, Japan",168,72,,9.7,219
5,,Kazuchika Okada,"Anjo, Aichi, Japan",191,107,,9.69,840
6,,Toshiaki Kawada,"Fujioka, Tochigi, Japan",183,105,,9.68,265
7,,Hiroshi Tanahashi,"Ogaki, Gifu, Japan",181,101,,9.68,755
8,,Jaguar Yokota,"Tokyo, Japan",159,58,,9.65,39
9,,Jumbo Tsuruta,"Yamanashi, Japan",194,127,,9.64,194
10,,Mayu Iwatani,"Mine, Yamaguchi, Japan",163,53,,9.64,207
11,,Meiko Satomura,"Niigata, Japan",157,68,,9.63,201
12,,Akira Hokuto,"Yoshikawa, Saitama, Japan",168,63,,9.62,92
13,,Hiroyuki Unno,"Hatogaya, Saitama, Japan",173,76,,9.62,105
14,,Shawn Michaels,"Chandler, Arizona, USA",185,103,,9.61,1766
15,,Takumi Iroha,"Fukuoka, Japan",170,72,,9.59,40
16,,Jushin Thunder Liger,"Hiroshima, Japan",170,92,,9.59,629
17,,Arisa Nakajima,"Chichibu, Saitama, Japan",160,60,,9.57,67
18,,Lou Thesz,"Barnat, Michigan, USA",185,102,,9.56,128
19,,Megumi Kudo,"Koshiyaga, Saitama, Japan",162,60,,9.56,65
20,,Rikidozan,"South Hamgyong, Korea",176,116,,9.54,86
21,,Toshiyo Yamada,"Saitama, Japan",168,70,,9.53,31
22,,Paul Heyman,"Scarsdale, New York, USA",180,106,,9.53,668
23,,Chris Jericho,"Manhasset, New York, USA",180,103,,9.53,1834
24,,Bobby Heenan,"Chicago, Illinois, USA",183,105,,9.51,302
25,,El Santo,"Tulancingo, Hidalgo, Mexiko",175,95,,9.51,87
26,,ASUKA,"Yokohama, Kanagawa, Japan",174,67,,9.51,73
27,,Undertaker,"Houston, Texas, USA",208,136,,9.51,2117
28,,Io Shirai,"Kamakura, Kanagawa, Japan",156,55,,9.51,368
